"DateTime","Players","Flags","Twitch Viewers"
"2016-07-23 00:00:00",,,3
"2016-07-24 00:00:00",,,0
"2016-07-25 00:00:00",1,,0
"2016-07-26 00:00:00",1,,0
"2016-07-27 00:00:00",4,,7
"2016-07-28 00:00:00",2,,0
"2016-07-29 00:00:00",1,,87
"2016-07-30 00:00:00",,,1
"2016-07-31 00:00:00",,,0
"2016-08-01 00:00:00",1,,0
"2016-08-02 00:00:00",2,,121
"2016-08-03 00:00:00",1,,0
"2016-08-04 00:00:00",2,,0
"2016-08-05 00:00:00",1,,0
"2016-08-06 00:00:00",,,4
"2016-08-07 00:00:00",,,382
"2016-08-08 00:00:00",1,,0
"2016-08-09 00:00:00",1,,0
"2016-08-10 00:00:00",2,,3
"2016-08-11 00:00:00",,,4
"2016-08-12 00:00:00",,,0
"2016-08-13 00:00:00",,,0
"2016-08-14 00:00:00",,,20
"2016-08-15 00:00:00",,,1
"2016-08-16 00:00:00",,,2
"2016-08-17 00:00:00",1,,0
"2016-08-18 00:00:00",2,,0
"2016-08-19 00:00:00",2,,0
"2016-08-20 00:00:00",1,,7
"2016-08-21 00:00:00",1,,5
"2016-08-22 00:00:00",2,,3
"2016-08-23 00:00:00",3,,0
"2016-08-24 00:00:00",1,,0
"2016-08-25 00:00:00",1,,3
"2016-08-26 00:00:00",2,,41
"2016-08-27 00:00:00",,,91
"2016-08-28 00:00:00",,,2409
"2016-08-29 00:00:00",3,,0
"2016-08-30 00:00:00",3,,0
"2016-08-31 00:00:00",2,,0
"2016-09-01 00:00:00",2,,0
"2016-09-02 00:00:00",3,,0
"2016-09-03 00:00:00",,,14
"2016-09-04 00:00:00",,,0
"2016-09-05 00:00:00",2,,0
"2016-09-06 00:00:00",2,,22
"2016-09-07 00:00:00",2,,0
"2016-09-08 00:00:00",2,,0
"2016-09-09 00:00:00",2,,13
"2016-09-10 00:00:00",,,2189
"2016-09-11 00:00:00",,,0
"2016-09-12 00:00:00",2,,0
"2016-09-13 00:00:00",2,,0
"2016-09-14 00:00:00",3,,0
"2016-09-15 00:00:00",2,,0
"2016-09-16 00:00:00",2,,3
"2016-09-17 00:00:00",,,5
"2016-09-18 00:00:00",,,0
"2016-09-19 00:00:00",,,0
"2016-09-20 00:00:00",3,,0
"2016-09-21 00:00:00",2,,0
"2016-09-22 00:00:00",,,0
"2016-09-23 00:00:00",3,,36
"2016-09-24 00:00:00",,,9
"2016-09-25 00:00:00",,,0
"2016-09-26 00:00:00",3,,0
"2016-09-27 00:00:00",3,,0
"2016-09-28 00:00:00",3,,0
"2016-09-29 00:00:00",2,,0
"2016-09-30 00:00:00",3,,32
"2016-10-01 00:00:00",,,3
"2016-10-02 00:00:00",,,0
"2016-10-03 00:00:00",3,,0
"2016-10-04 00:00:00",2,,0
"2016-10-05 00:00:00",3,,0
"2016-10-06 00:00:00",2,,0
"2016-10-07 00:00:00",2,,0
"2016-10-08 00:00:00",,,69
"2016-10-09 00:00:00",,,5
"2016-10-10 00:00:00",,,0
"2016-10-11 00:00:00",2,,0
"2016-10-12 00:00:00",2,,0
"2016-10-13 00:00:00",3,,0
"2016-10-14 00:00:00",2,,0
"2016-10-15 00:00:00",,,2
"2016-10-16 00:00:00",,,0
"2016-10-17 00:00:00",2,,0
"2016-10-18 00:00:00",2,,0
"2016-10-19 00:00:00",2,,0
"2016-10-20 00:00:00",1,,0
"2016-10-21 00:00:00",3,,0
"2016-10-22 00:00:00",,,0
"2016-10-23 00:00:00",,,0
"2016-10-24 00:00:00",2,,0
"2016-10-25 00:00:00",2,,0
"2016-10-26 00:00:00",1,,0
"2016-10-27 00:00:00",2,,0
"2016-10-28 00:00:00",1,,160
"2016-10-29 00:00:00",,,89
